start-time,end-time,duration,rtt,proto,sip,sp,dip,dp,iflags,uflags,riflags,ruflags,isn,risn,tag,rtag,pkt,oct,rpkt,roct,app,entropy,rentropy,end-reason
2021-09-10 16:16:22.146,2021-09-10 16:16:32.156,10.010,0.000,17,192.168.60.210,38393,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,8,536,0,0,53,119,0,eof
2021-09-10 16:16:32.488,2021-09-10 16:16:32.488,0.000,0.000,17,192.168.51.205,33581,192.58.128.30,53,0,0,0,0,00000000,00000000,000,000,2,136,0,0,53,95,0,eof
2021-09-10 16:15:28.340,2021-09-10 16:16:32.582,64.242,0.000,2,192.168.50.253,0,224.0.0.251,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:15:31.220,2021-09-10 16:16:32.720,61.500,0.000,2,192.168.60.183,0,224.0.0.252,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:16:32.821,2021-09-10 16:16:32.821,0.000,0.000,17,192.168.50.50,20984,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,820,0,0,53,135,0,eof
2021-09-10 16:16:32.821,2021-09-10 16:16:32.821,0.000,0.000,17,192.168.50.50,20929,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,820,0,0,53,137,0,eof
2021-09-10 16:16:32.822,2021-09-10 16:16:32.822,0.000,0.000,17,192.168.50.50,45665,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,670,0,0,53,119,0,eof
2021-09-10 16:16:32.823,2021-09-10 16:16:32.823,0.000,0.000,17,192.168.50.50,44689,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,670,0,0,53,122,0,eof
2021-09-10 16:15:29.413,2021-09-10 16:16:33.420,64.007,0.000,2,192.168.50.134,0,224.0.0.252,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:16:28.438,2021-09-10 16:16:33.443,5.005,0.000,17,192.168.50.106,52603,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,8,472,0,0,53,102,0,eof
2021-09-10 16:16:33.554,2021-09-10 16:16:33.557,0.003,0.002,17,192.168.51.137,36797,192.168.51.205,53,0,0,0,0,00000000,00000000,000,000,4,208,4,296,53,85,111,eof
2021-09-10 16:16:33.621,2021-09-10 16:16:33.624,0.003,0.003,17,192.168.51.137,47137,192.168.51.205,53,0,0,0,0,00000000,00000000,000,000,4,208,4,296,53,85,111,eof
2021-09-10 16:15:34.648,2021-09-10 16:16:33.648,59.000,0.000,2,192.168.60.107,0,239.255.255.250,0,0,0,0,0,00000000,00000000,000,000,2,64,0,0,0,0,0,eof
2021-09-10 16:16:33.949,2021-09-10 16:16:33.952,0.003,0.003,17,192.168.51.137,54846,192.168.51.205,53,0,0,0,0,00000000,00000000,000,000,4,252,4,516,53,104,124,eof
2021-09-10 16:15:29.511,2021-09-10 16:16:34.024,64.513,0.000,2,192.168.60.159,0,239.255.255.250,0,0,0,0,0,00000000,00000000,000,000,3,96,0,0,0,0,0,eof
2021-09-10 16:16:19.033,2021-09-10 16:16:34.034,15.001,0.000,6,192.168.50.45,52799,20.50.73.9,443,S,S,0,0,fd5c7cfb,00000000,000,000,10,520,0,0,0,0,0,eof
2021-09-10 16:15:32.923,2021-09-10 16:16:34.418,61.495,0.000,2,192.168.50.134,0,239.255.255.250,0,0,0,0,0,00000000,00000000,000,000,2,64,0,0,0,0,0,eof
2021-09-10 16:16:34.432,2021-09-10 16:16:34.432,0.000,0.000,17,192.168.50.50,55172,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,600,0,0,53,101,0,eof
2021-09-10 16:16:34.433,2021-09-10 16:16:34.433,0.000,0.000,17,192.168.50.50,24181,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,600,0,0,53,105,0,eof
2021-09-10 16:16:26.574,2021-09-10 16:16:34.604,8.030,0.000,17,192.168.60.159,63448,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,800,0,0,53,136,0,eof
2021-09-10 16:16:35.186,2021-09-10 16:16:35.186,0.000,0.000,6,192.168.60.159,7817,169.254.169.254,80,S,S,0,0,db377ece,00000000,000,000,2,104,0,0,0,0,0,eof
2021-09-10 16:16:35.186,2021-09-10 16:16:35.186,0.000,0.000,1,192.168.40.254,0,192.168.60.159,781,0,0,0,0,00000000,00000000,000,000,2,112,0,0,0,0,0,eof
2021-09-10 16:16:35.402,2021-09-10 16:16:35.402,0.000,0.000,6,192.168.60.159,7818,169.254.169.254,80,S,S,0,0,9c3ad264,00000000,000,000,2,104,0,0,0,0,0,eof
2021-09-10 16:16:20.602,2021-09-10 16:16:35.603,15.001,0.000,6,192.168.50.45,52800,52.113.195.132,443,S,S,0,0,63e7a189,00000000,000,000,10,520,0,0,0,0,0,eof
2021-09-10 16:16:35.715,2021-09-10 16:16:35.715,0.000,0.000,6,192.168.60.159,7819,169.254.169.254,80,S,S,0,0,5f7308a9,00000000,000,000,2,104,0,0,0,0,0,eof
2021-09-10 16:16:20.854,2021-09-10 16:16:35.855,15.001,0.000,6,192.168.50.45,52801,52.113.195.132,443,S,S,0,0,5a0de25d,00000000,000,000,10,520,0,0,0,0,0,eof
2021-09-10 16:16:27.898,2021-09-10 16:16:35.923,8.025,0.000,17,192.168.60.159,52049,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,770,0,0,53,126,0,eof
2021-09-10 16:16:04.480,2021-09-10 16:16:35.979,31.499,0.000,17,192.168.50.50,2866,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,40,3000,0,0,53,126,0,eof
2021-09-10 16:16:04.481,2021-09-10 16:16:35.979,31.498,0.000,17,192.168.50.50,31569,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,40,3000,0,0,53,124,0,eof
2021-09-10 16:16:36.006,2021-09-10 16:16:36.006,0.000,0.000,17,192.168.50.50,22725,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,670,0,0,53,119,0,eof
2021-09-10 16:16:36.006,2021-09-10 16:16:36.006,0.000,0.000,17,192.168.50.50,17558,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,670,0,0,53,122,0,eof
2021-09-10 16:15:35.716,2021-09-10 16:16:36.219,60.503,0.000,2,192.168.60.183,0,239.255.255.250,0,0,0,0,0,00000000,00000000,000,000,2,64,0,0,0,0,0,eof
2021-09-10 16:16:36.230,2021-09-10 16:16:36.230,0.000,0.000,6,192.168.60.159,7820,169.254.169.254,80,S,S,0,0,0721f181,00000000,000,000,2,104,0,0,0,0,0,eof
2021-09-10 16:15:00.125,2021-09-10 16:16:36.295,96.170,0.000,17,192.168.51.138,64209,239.255.255.250,1900,0,0,0,0,00000000,00000000,000,000,8,1320,0,0,80,167,0,eof
2021-09-10 16:15:29.096,2021-09-10 16:16:36.297,67.201,0.000,2,192.168.60.254,0,224.0.1.39,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:16:36.600,2021-09-10 16:16:36.600,0.000,0.000,17,192.168.50.50,45659,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,670,0,0,53,119,0,eof
2021-09-10 16:16:36.601,2021-09-10 16:16:36.601,0.000,0.000,17,192.168.50.50,29856,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,670,0,0,53,122,0,eof
2021-09-10 16:15:12.111,2021-09-10 16:16:37.166,85.055,0.000,6,192.168.60.210,35238,192.168.60.5,514,AP,AP,A,A,fbaead9c,ceb27085,000,000,12,2100,12,624,0,0,0,eof
2021-09-10 16:16:22.478,2021-09-10 16:16:37.478,15.000,0.000,6,192.168.60.107,58200,151.101.1.195,80,S,S,0,0,a3020a51,00000000,000,000,10,520,0,0,0,0,0,eof
2021-09-10 16:16:38.309,2021-09-10 16:16:38.309,0.000,0.000,17,192.168.50.50,28906,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,750,0,0,53,124,0,eof
2021-09-10 16:16:38.309,2021-09-10 16:16:38.309,0.000,0.000,17,192.168.50.50,11762,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,750,0,0,53,129,0,eof
2021-09-10 16:16:33.447,2021-09-10 16:16:38.452,5.005,0.000,17,192.168.50.106,40363,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,8,472,0,0,53,104,0,eof
2021-09-10 16:16:30.469,2021-09-10 16:16:38.485,8.016,0.000,17,192.168.60.183,58301,192.168.50.100,53,0,0,0,0,00000000,00000000,000,000,10,710,0,0,53,124,0,eof
2021-09-10 16:16:38.732,2021-09-10 16:16:38.734,0.002,0.002,17,192.168.51.137,52548,192.168.51.205,53,0,0,0,0,00000000,00000000,000,000,4,252,4,554,53,110,126,eof
