flow_id,stime_ms,src_ip,dst_ip,protocol,src_port,dst_port,application,vlan,protocol_name
2500590270,1631290528335,192.168.50.19,255.255.255.255,17,43613,10002,0,0,UDP
3372557244,1631290528546,192.168.51.205,198.41.0.4,17,53125,53,0,0,UDP
2970207666,1631290529346,192.168.51.205,192.203.230.10,17,45419,53,0,0,UDP
5082,1631290529918,192.168.50.254,192.168.50.105,1,3,13,0,0,ICMP
794289109,1631290530065,192.168.60.111,239.255.255.250,2,0,0,0,0,IGMP
3871417929,1631290530146,192.168.51.205,192.5.5.241,17,58989,53,0,0,UDP
292103394,1631290522142,192.168.60.159,8.8.8.8,17,55752,53,0,0,UDP
3483904591,1631290530397,192.168.50.50,8.8.8.8,17,1801,53,0,0,UDP
3466209871,1631290530397,192.168.50.50,8.8.8.8,17,1595,53,0,0,UDP
1487086265,1631290530740,192.168.51.205,1.1.1.1,17,39179,53,0,0,UDP
4278915122,1631290530736,192.168.51.138,192.168.51.205,17,65290,53,0,0,UDP
3585975206,1631290530946,192.168.51.205,192.58.128.30,17,54574,53,0,0,UDP
2950769231,1631290531603,192.168.50.50,8.8.8.8,17,26432,53,0,0,UDP
3203476047,1631290531604,192.168.50.50,8.8.8.8,17,30288,53,0,0,UDP
2428839860,1631290531744,192.168.51.205,192.33.4.12,17,36941,53,0,0,UDP
4274986662,1631290524063,192.168.60.183,192.168.50.100,17,65230,53,0,0,UDP
803482191,1631290532680,192.168.50.50,8.8.8.8,17,59205,53,0,0,UDP
250948175,1631290532680,192.168.50.50,8.8.8.8,17,50772,53,0,0,UDP
3979487823,1631290532737,192.168.50.50,8.8.8.8,17,9619,53,0,0,UDP
2171873871,1631290532737,192.168.50.50,8.8.8.8,17,18901,53,0,0,UDP
4116254935,1631290533098,192.168.60.111,192.168.60.205,17,62808,53,0,0,UDP
3736473815,1631290533106,192.168.60.111,192.168.60.205,17,57015,53,0,0,UDP
3597340887,1631290533107,192.168.60.111,192.168.60.205,17,54890,53,0,0,UDP
572729879,1631290528328,192.168.50.106,8.8.8.8,17,60034,53,0,0,UDP
3832942807,1631290533349,192.168.60.111,192.168.60.205,17,58487,53,0,0,UDP
1491675727,1631290535268,192.168.50.50,8.8.8.8,17,36936,53,0,0,UDP
4236782159,1631290535268,192.168.50.50,8.8.8.8,17,13353,53,0,0,UDP
2552900175,1631290535922,192.168.50.50,8.8.8.8,17,20619,53,0,0,UDP
921971279,1631290535923,192.168.50.50,8.8.8.8,17,65109,53,0,0,UDP
2915575732,1631290536146,192.168.51.205,192.33.4.12,17,44352,53,0,0,UDP
1723278009,1631290536142,192.168.51.205,1.1.1.1,17,42783,53,0,0,UDP
266085049,1631290536143,192.168.51.205,1.1.1.1,17,52852,53,0,0,UDP
3609006129,1631290536138,192.168.51.137,192.168.51.205,17,55068,53,0,0,UDP
217982178,1631290528127,192.168.60.159,8.8.8.8,17,50271,53,0,0,UDP
3013552719,1631290536542,192.168.50.50,8.8.8.8,17,31550,53,0,0,UDP
2011048527,1631290536542,192.168.50.50,8.8.8.8,17,49023,53,0,0,UDP
2915188028,1631290536861,192.168.50.45,172.16.31.100,17,49531,53,0,0,UDP
2836314025,1631290536944,192.168.51.205,192.36.148.17,17,43395,53,0,0,UDP
618015311,1631290505734,192.168.50.50,8.8.8.8,17,60535,53,0,0,UDP
3439992486,1631290529510,192.168.60.183,192.168.50.100,17,52491,53,0,0,UDP
2298621297,1631290537747,192.168.51.205,199.9.14.201,17,36514,53,0,0,UDP
3748863654,1631290529730,192.168.60.183,192.168.50.100,17,57202,53,0,0,UDP
629156375,1631290538340,192.168.50.106,8.8.8.8,17,60705,53,0,0,UDP
758262295,1631290538351,192.168.50.106,8.8.8.8,17,58771,53,0,0,UDP
2702323001,1631290538545,192.168.51.205,193.0.14.129,17,41147,53,0,0,UDP
2273183676,1631290539347,192.168.51.205,192.112.36.4,17,34727,53,0,0,UDP
3531356313,1631290540147,192.168.51.205,202.12.27.33,17,55513,53,0,0,UDP
695806543,1631290540407,192.168.50.50,8.8.8.8,17,57816,53,0,0,UDP
2491886159,1631290540407,192.168.50.50,8.8.8.8,17,23590,53,0,0,UDP
2274627633,1631290540632,192.168.51.137,192.168.51.205,17,34709,53,0,0,UDP
3997397138,1631290540948,192.168.51.205,199.7.83.42,17,59885,53,0,0,UDP
4199164495,1631290541614,192.168.50.50,8.8.8.8,17,13035,53,0,0,UDP
1501178447,1631290541614,192.168.50.50,8.8.8.8,17,37339,53,0,0,UDP
2581175693,1631290541744,192.168.51.205,198.97.190.53,17,40721,53,0,0,UDP
3495809606,1631290535998,192.168.51.138,239.255.255.250,17,65291,3702,0,0,UDP
1419099160,1631290535998,fe80::1085:779b:1fa5:ef3c,ff02::000c,17,65292,3702,0,0,UDP
237118137,1631290542436,192.168.51.205,1.1.1.1,17,53130,53,0,0,UDP
2966229041,1631290542432,192.168.51.137,192.168.51.205,17,45260,53,0,0,UDP
3257432245,1631290542547,192.168.51.205,199.7.91.13,17,50566,53,0,0,UDP
1378560591,1631290542697,192.168.50.50,8.8.8.8,17,39562,53,0,0,UDP
2245995087,1631290542698,192.168.50.50,8.8.8.8,17,19838,53,0,0,UDP
2254514767,1631290542749,192.168.50.50,8.8.8.8,17,20160,53,0,0,UDP
